Invoice ID,Invoice Date,Customer ID,Customer Name,Product ID,Product Name,Quantity,Unit Price,Total Amount,Branch,Currency
INV-2026-1001,2026-02-02,C-101,Beta LLC,P-501,Deluxe Bolt,2.0,31.0,62.0,East Outlet,USD
INV-2026-1002,2026-03-03,C-102,Gamma Industries,P-502,Eco Battery,3.0,46.5,139.5,South Warehouse,USD
INV-2026-1003,2026-04-04,C-103,Delta Ltd,P-503,Super Sensor,4.0,62.0,248.0,West Center,USD
INV-2026-1004,2026-05-05,C-104,Epsilon Co,P-504,Smart Controller,5.0,77.5,387.5,North Hub,USD
INV-2026-1005,2026-06-06,C-100,Alpha Corp,P-505,Standard Cable,6.0,15.5,93.0,East Outlet,USD
INV-2026-1006,2026-01-07,C-101,Beta LLC,P-506,Ultra Switch,7.0,31.0,217.0,South Warehouse,USD
INV-2026-1007,2026-02-08,C-102,Gamma Industries,P-507,Power Adapter,8.0,46.5,372.0,West Center,USD
INV-2026-1008,2026-03-09,C-103,Delta Ltd,P-500,Premium Widget,9.0,62.0,558.0,North Hub,USD
INV-2026-1009,2026-04-10,C-104,Epsilon Co,P-501,Deluxe Bolt,10.0,77.5,775.0,East Outlet,USD
INV-2026-1010,2026-05-11,C-100,Alpha Corp,P-502,Eco Battery,1.0,15.5,15.5,South Warehouse,USD
INV-2026-1011,2026-06-12,C-101,Beta LLC,P-503,Super Sensor,2.0,31.0,62.0,West Center,USD
INV-2026-1012,2026-01-13,C-102,Gamma Industries,P-504,Smart Controller,3.0,46.5,139.5,North Hub,USD
INV-2026-1013,2026-02-14,C-103,Delta Ltd,P-505,Standard Cable,4.0,62.0,248.0,East Outlet,USD
INV-2026-1014,2026-03-15,C-104,Epsilon Co,P-506,Ultra Switch,5.0,77.5,387.5,South Warehouse,USD
INV-2026-1015,2026-04-16,C-100,Alpha Corp,P-507,Power Adapter,6.0,15.5,93.0,West Center,USD
INV-2026-1016,2026-05-17,C-101,Beta LLC,P-500,Premium Widget,7.0,31.0,217.0,North Hub,USD
INV-2026-1017,2026-06-18,C-102,Gamma Industries,P-501,Deluxe Bolt,8.0,46.5,372.0,East Outlet,USD
INV-2026-1018,2026-01-19,C-103,Delta Ltd,P-502,Eco Battery,9.0,62.0,558.0,South Warehouse,USD
INV-2026-1019,2026-02-20,C-104,Epsilon Co,P-503,Super Sensor,10.0,77.5,775.0,West Center,USD
INV-2026-1020,2026-03-21,C-100,Alpha Corp,P-504,Smart Controller,1.0,15.5,15.5,North Hub,USD
INV-2026-1021,2026-04-22,C-101,Beta LLC,P-505,Standard Cable,2.0,31.0,62.0,East Outlet,USD
INV-2026-1022,2026-05-23,C-102,Gamma Industries,P-506,Ultra Switch,3.0,46.5,139.5,South Warehouse,USD
INV-2026-1023,2026-06-24,C-103,Delta Ltd,P-507,Power Adapter,4.0,62.0,248.0,West Center,USD
INV-2026-1024,2026-01-25,C-104,Epsilon Co,P-500,Premium Widget,5.0,77.5,387.5,North Hub,USD
INV-2026-1025,2026-02-26,C-100,Alpha Corp,P-501,Deluxe Bolt,6.0,15.5,93.0,East Outlet,USD
INV-2026-1026,2026-03-27,C-101,Beta LLC,P-502,Eco Battery,7.0,31.0,217.0,South Warehouse,USD
INV-2026-1027,2026-04-28,C-102,Gamma Industries,P-503,Super Sensor,8.0,46.5,372.0,West Center,USD
INV-2026-1028,2026-05-01,C-103,Delta Ltd,P-504,Smart Controller,9.0,62.0,558.0,North Hub,USD
INV-2026-1029,2026-06-02,C-104,Epsilon Co,P-505,Standard Cable,10.0,77.5,775.0,East Outlet,USD
INV-2026-1030,2026-01-03,C-100,Alpha Corp,P-506,Ultra Switch,1.0,15.5,15.5,South Warehouse,USD
INV-2026-1031,2026-02-04,C-101,Beta LLC,P-507,Power Adapter,2.0,31.0,62.0,West Center,USD
INV-2026-1032,2026-03-05,C-102,Gamma Industries,P-500,Premium Widget,3.0,46.5,139.5,North Hub,USD
INV-2026-1033,2026-04-06,C-103,Delta Ltd,P-501,Deluxe Bolt,4.0,62.0,248.0,East Outlet,USD
INV-2026-1034,2026-05-07,C-104,Epsilon Co,P-502,Eco Battery,5.0,77.5,387.5,South Warehouse,USD
INV-2026-1035,2026-06-08,C-100,Alpha Corp,P-503,Super Sensor,6.0,15.5,93.0,West Center,USD
INV-2026-1036,2026-01-09,C-101,Beta LLC,P-504,Smart Controller,7.0,31.0,217.0,North Hub,USD
INV-2026-1037,2026-02-10,C-102,Gamma Industries,P-505,Standard Cable,8.0,46.5,372.0,East Outlet,USD
INV-2026-1038,2026-03-11,C-103,Delta Ltd,P-506,Ultra Switch,9.0,62.0,558.0,South Warehouse,USD
INV-2026-1039,2026-04-12,C-104,Epsilon Co,P-507,Power Adapter,10.0,77.5,775.0,West Center,USD
INV-2026-1040,2026-05-13,C-100,Alpha Corp,P-500,Premium Widget,1.0,15.5,15.5,North Hub,USD
INV-2026-1041,2026-06-14,C-101,Beta LLC,P-501,Deluxe Bolt,2.0,31.0,62.0,East Outlet,USD
INV-2026-1042,2026-01-15,C-102,Gamma Industries,P-502,Eco Battery,3.0,46.5,139.5,South Warehouse,USD
INV-2026-1043,2026-02-16,C-103,Delta Ltd,P-503,Super Sensor,4.0,62.0,248.0,West Center,USD
INV-2026-1044,2026-03-17,C-104,Epsilon Co,P-504,Smart Controller,5.0,77.5,387.5,North Hub,USD
INV-2026-1045,2026-04-18,C-100,Alpha Corp,P-505,Standard Cable,6.0,15.5,93.0,East Outlet,USD
INV-2026-1046,2026-05-19,C-101,Beta LLC,P-506,Ultra Switch,7.0,31.0,217.0,South Warehouse,USD
INV-2026-1047,2026-06-20,C-102,Gamma Industries,P-507,Power Adapter,8.0,46.5,372.0,West Center,USD
INV-2026-1048,2026-01-21,C-103,Delta Ltd,P-500,Premium Widget,9.0,62.0,558.0,North Hub,USD
INV-2026-1049,2026-02-22,C-104,Epsilon Co,P-501,Deluxe Bolt,10.0,77.5,775.0,East Outlet,USD
INV-2026-1050,2026-03-23,C-100,Alpha Corp,P-502,Eco Battery,1.0,15.5,15.5,South Warehouse,USD
INV-2026-1051,2026-04-24,C-101,Beta LLC,P-503,Super Sensor,2.0,31.0,62.0,West Center,USD
INV-2026-1052,2026-05-25,C-102,Gamma Industries,P-504,Smart Controller,3.0,46.5,139.5,North Hub,USD
INV-2026-1053,2026-06-26,C-103,Delta Ltd,P-505,Standard Cable,4.0,62.0,248.0,East Outlet,USD
INV-2026-1054,2026-01-27,C-104,Epsilon Co,P-506,Ultra Switch,5.0,77.5,387.5,South Warehouse,USD
INV-2026-1055,2026-02-28,C-100,Alpha Corp,P-507,Power Adapter,6.0,15.5,93.0,West Center,USD
INV-2026-1056,2026-03-01,C-101,Beta LLC,P-500,Premium Widget,7.0,31.0,217.0,North Hub,USD
INV-2026-1057,2026-04-02,C-102,Gamma Industries,P-501,Deluxe Bolt,8.0,46.5,372.0,East Outlet,USD
INV-2026-1058,2026-05-03,C-103,Delta Ltd,P-502,Eco Battery,9.0,62.0,558.0,South Warehouse,USD
INV-2026-1059,2026-06-04,C-104,Epsilon Co,P-503,Super Sensor,10.0,77.5,775.0,West Center,USD
INV-2026-1060,2026-01-05,C-100,Alpha Corp,P-504,Smart Controller,1.0,15.5,15.5,North Hub,USD
